date,id_produit,nom_produit,type_produit,type_operation,type_sortie,quantite,unite,id_lot,id_arrivage,id_fournisseur,nom_fournisseur,date_expiration,stock_theorique,temperature_stockage
2022-01-01,1,Poulet frais,Aliment,ENTREE,,30.0,kg,1,1,1,Volailles Dupont,2022-01-03,30.0,2.2
2022-01-01,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,2,2,2,Poissonnerie Martin,2022-01-03,20.0,3.5
2022-01-01,3,Pain frais,Aliment,ENTREE,,40.0,kg,3,3,3,Boulangerie Moderne,2022-01-02,40.0,6.4
2022-01-02,1,Poulet frais,Aliment,SORTIE,CONSOMMATION,8.17,kg,1,1,1,Volailles Dupont,2022-01-03,21.83,6.1
2022-01-02,2,Poisson blanc,Aliment,SORTIE,CONSOMMATION,4.93,kg,2,2,2,Poissonnerie Martin,2022-01-03,15.07,7.4
2022-01-02,3,Pain frais,Aliment,SORTIE,DESTRUCTION,40.0,kg,3,3,3,Boulangerie Moderne,2022-01-02,0.0,2.5
2022-01-02,3,Pain frais,Aliment,ENTREE,,40.0,kg,4,4,3,Boulangerie Moderne,2022-01-04,40.0,2.2
2022-01-03,1,Poulet frais,Aliment,SORTIE,DESTRUCTION,21.83,kg,1,1,1,Volailles Dupont,2022-01-03,0.0,2.6
2022-01-03,1,Poulet frais,Aliment,ENTREE,,30.0,kg,5,5,1,Volailles Dupont,2022-01-05,30.0,5.0
2022-01-03,2,Poisson blanc,Aliment,SORTIE,DESTRUCTION,15.07,kg,2,2,2,Poissonnerie Martin,2022-01-03,0.0,2.2
2022-01-03,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,6,6,2,Poissonnerie Martin,2022-01-04,20.0,6.3
2022-01-03,3,Pain frais,Aliment,SORTIE,CONSOMMATION,22.11,kg,4,4,3,Boulangerie Moderne,2022-01-04,17.89,6.2
2022-01-03,3,Pain frais,Aliment,ENTREE,,22.11,kg,7,7,3,Boulangerie Moderne,2022-01-05,40.0,3.3
2022-01-03,4,Lait entier,Aliment,ENTREE,,105.0,L,8,8,7,Laiterie Régionale,2022-01-10,105.0,3.7
2022-01-03,6,Fromage frais,Aliment,ENTREE,,30.0,kg,9,9,6,Fromagerie du Mont,2022-01-08,30.0,6.6
2022-01-03,8,Viande de boeuf,Aliment,ENTREE,,40.0,kg,10,10,8,Boucherie Centrale,2022-01-06,40.0,6.2
2022-01-04,1,Poulet frais,Aliment,SORTIE,CONSOMMATION,12.47,kg,5,5,1,Volailles Dupont,2022-01-05,17.53,4.0
2022-01-04,2,Poisson blanc,Aliment,SORTIE,DESTRUCTION,20.0,kg,6,6,2,Poissonnerie Martin,2022-01-04,0.0,2.9
2022-01-04,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,11,11,2,Poissonnerie Martin,2022-01-06,20.0,2.6
2022-01-04,3,Pain frais,Aliment,SORTIE,DESTRUCTION,17.89,kg,4,4,3,Boulangerie Moderne,2022-01-04,22.11,4.3
2022-01-04,3,Pain frais,Aliment,SORTIE,CONSOMMATION,18.53,kg,7,7,3,Boulangerie Moderne,2022-01-05,3.5799999999999983,4.2
2022-01-04,3,Pain frais,Aliment,ENTREE,,36.42,kg,12,12,3,Boulangerie Moderne,2022-01-06,40.0,5.6
2022-01-04,4,Lait entier,Aliment,SORTIE,CONSOMMATION,32.35,L,8,8,7,Laiterie Régionale,2022-01-10,72.65,6.8
2022-01-04,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,5.97,kg,9,9,6,Fromagerie du Mont,2022-01-08,24.03,6.4
2022-01-04,8,Viande de boeuf,Aliment,SORTIE,CONSOMMATION,8.5,kg,10,10,8,Boucherie Centrale,2022-01-06,31.5,5.2
2022-01-05,1,Poulet frais,Aliment,SORTIE,DESTRUCTION,17.53,kg,5,5,1,Volailles Dupont,2022-01-05,0.0,7.8
2022-01-05,1,Poulet frais,Aliment,ENTREE,,30.0,kg,13,13,1,Volailles Dupont,2022-01-08,30.0,2.5
2022-01-05,2,Poisson blanc,Aliment,SORTIE,CONSOMMATION,8.94,kg,11,11,2,Poissonnerie Martin,2022-01-06,11.06,3.8
2022-01-05,3,Pain frais,Aliment,SORTIE,DESTRUCTION,3.5799999999999983,kg,7,7,3,Boulangerie Moderne,2022-01-05,36.42,5.8
2022-01-05,3,Pain frais,Aliment,SORTIE,CONSOMMATION,22.24,kg,12,12,3,Boulangerie Moderne,2022-01-06,14.180000000000003,7.3
2022-01-05,3,Pain frais,Aliment,ENTREE,,25.82,kg,14,14,3,Boulangerie Moderne,2022-01-07,40.0,5.5
2022-01-05,4,Lait entier,Aliment,SORTIE,CONSOMMATION,38.75,L,8,8,7,Laiterie Régionale,2022-01-10,33.900000000000006,6.2
2022-01-05,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,5.07,kg,9,9,6,Fromagerie du Mont,2022-01-08,18.96,2.3
2022-01-05,8,Viande de boeuf,Aliment,SORTIE,CONSOMMATION,7.76,kg,10,10,8,Boucherie Centrale,2022-01-06,23.740000000000002,3.4
2022-01-06,1,Poulet frais,Aliment,SORTIE,CONSOMMATION,10.17,kg,13,13,1,Volailles Dupont,2022-01-08,19.83,3.7
2022-01-06,2,Poisson blanc,Aliment,SORTIE,DESTRUCTION,11.06,kg,11,11,2,Poissonnerie Martin,2022-01-06,0.0,2.5
2022-01-06,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,15,15,2,Poissonnerie Martin,2022-01-07,20.0,7.2
2022-01-06,3,Pain frais,Aliment,SORTIE,DESTRUCTION,14.180000000000003,kg,12,12,3,Boulangerie Moderne,2022-01-06,25.819999999999997,4.3
2022-01-06,3,Pain frais,Aliment,SORTIE,CONSOMMATION,22.56,kg,14,14,3,Boulangerie Moderne,2022-01-07,3.2600000000000016,4.7
2022-01-06,3,Pain frais,Aliment,ENTREE,,36.74,kg,16,16,3,Boulangerie Moderne,2022-01-08,40.0,3.0
2022-01-06,4,Lait entier,Aliment,ENTREE,,105.0,L,17,17,7,Laiterie Régionale,2022-01-12,138.9,3.3
2022-01-06,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,6.58,kg,9,9,6,Fromagerie du Mont,2022-01-08,12.38,3.6
2022-01-06,6,Fromage frais,Aliment,ENTREE,,21.0,kg,18,18,6,Fromagerie du Mont,2022-01-13,33.38,5.9
2022-01-06,8,Viande de boeuf,Aliment,SORTIE,DESTRUCTION,23.740000000000002,kg,10,10,8,Boucherie Centrale,2022-01-06,0.0,5.7
2022-01-06,8,Viande de boeuf,Aliment,ENTREE,,40.0,kg,19,19,8,Boucherie Centrale,2022-01-09,40.0,5.2
2022-01-07,1,Poulet frais,Aliment,SORTIE,CONSOMMATION,10.7,kg,13,13,1,Volailles Dupont,2022-01-08,9.129999999999999,3.5
2022-01-07,1,Poulet frais,Aliment,ENTREE,,20.87,kg,20,20,1,Volailles Dupont,2022-01-10,30.0,4.3
2022-01-07,2,Poisson blanc,Aliment,SORTIE,DESTRUCTION,20.0,kg,15,15,2,Poissonnerie Martin,2022-01-07,0.0,7.9
2022-01-07,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,21,21,2,Poissonnerie Martin,2022-01-08,20.0,6.1
2022-01-07,3,Pain frais,Aliment,SORTIE,DESTRUCTION,3.2600000000000016,kg,14,14,3,Boulangerie Moderne,2022-01-07,36.739999999999995,7.1
2022-01-07,3,Pain frais,Aliment,SORTIE,CONSOMMATION,19.74,kg,16,16,3,Boulangerie Moderne,2022-01-08,17.000000000000004,6.7
2022-01-07,3,Pain frais,Aliment,ENTREE,,23.0,kg,22,22,3,Boulangerie Moderne,2022-01-08,40.0,6.9
2022-01-07,4,Lait entier,Aliment,SORTIE,CONSOMMATION,31.93,L,8,8,7,Laiterie Régionale,2022-01-10,106.97,6.8
2022-01-07,5,Yaourt nature,Aliment,ENTREE,,84.0,kg,23,23,7,Laiterie Régionale,2022-01-20,84.0,3.6
2022-01-07,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,7.71,kg,9,9,6,Fromagerie du Mont,2022-01-08,25.67,3.3
2022-01-07,7,Beurre,Aliment,ENTREE,,35.0,kg,24,24,7,Laiterie Régionale,2022-02-05,35.0,7.3
2022-01-07,8,Viande de boeuf,Aliment,SORTIE,CONSOMMATION,11.38,kg,19,19,8,Boucherie Centrale,2022-01-09,28.619999999999997,3.9
2022-01-07,9,Légumes frais,Aliment,ENTREE,,210.0,kg,25,25,10,Maraîcher Local,2022-01-17,210.0,5.0
2022-01-07,10,Fruits frais,Aliment,ENTREE,,175.0,kg,26,26,10,Maraîcher Local,2022-01-17,175.0,4.8
2022-01-07,11,Oeufs,Aliment,ENTREE,,560.0,unité,27,27,11,Ferme Avicole,2022-01-31,560.0,2.8
2022-01-08,1,Poulet frais,Aliment,SORTIE,DESTRUCTION,9.129999999999999,kg,13,13,1,Volailles Dupont,2022-01-08,20.87,6.5
2022-01-08,1,Poulet frais,Aliment,SORTIE,CONSOMMATION,9.47,kg,20,20,1,Volailles Dupont,2022-01-10,11.4,5.2
2022-01-08,1,Poulet frais,Aliment,ENTREE,,18.6,kg,28,28,1,Volailles Dupont,2022-01-11,30.0,7.4
2022-01-08,2,Poisson blanc,Aliment,SORTIE,DESTRUCTION,20.0,kg,21,21,2,Poissonnerie Martin,2022-01-08,0.0,4.4
2022-01-08,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,29,29,2,Poissonnerie Martin,2022-01-09,20.0,8.0
2022-01-08,3,Pain frais,Aliment,SORTIE,DESTRUCTION,17.000000000000004,kg,16,16,3,Boulangerie Moderne,2022-01-08,22.999999999999996,2.8
2022-01-08,3,Pain frais,Aliment,SORTIE,DESTRUCTION,23.0,kg,22,22,3,Boulangerie Moderne,2022-01-08,0.0,5.0
2022-01-08,3,Pain frais,Aliment,ENTREE,,40.0,kg,30,30,3,Boulangerie Moderne,2022-01-09,40.0,7.2
2022-01-08,4,Lait entier,Aliment,SORTIE,CONSOMMATION,1.970000000000006,L,8,8,7,Laiterie Régionale,2022-01-10,105.0,2.9
2022-01-08,4,Lait entier,Aliment,SORTIE,CONSOMMATION,23.319999999999993,L,17,17,7,Laiterie Régionale,2022-01-12,81.68,3.0
2022-01-08,5,Yaourt nature,Aliment,SORTIE,CONSOMMATION,8.12,kg,23,23,7,Laiterie Régionale,2022-01-20,75.88,6.1
2022-01-08,6,Fromage frais,Aliment,SORTIE,DESTRUCTION,4.670000000000001,kg,9,9,6,Fromagerie du Mont,2022-01-08,21.0,5.6
2022-01-08,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,3.92,kg,18,18,6,Fromagerie du Mont,2022-01-13,17.08,4.3
